"titles","texts","time.stamp","pushes"
"[問卦] 為甚麼公務員領50k要離職? ","
大家早安

前幾天有新聞說

女公務員領50k

不知道怎樣就離職了



假如鄉民是公務員

且領50k

鄉民會離職嗎?


有卦嗎




--
 ","Thu Jul 18 10:45:19 2019 ","→ → → 推 推 → 噓 噓 → → 推 → 噓 噓 推 噓  "
"[新聞] 調電風扇..機場員工遭電擊20秒「張嘴慘死 ","



ETtoday新聞雲

記者錢玉紘／綜合報導



調電風扇...機場員工遭電擊20秒「張嘴慘死」！黃衣哥走過不救網罵翻





葉門亞丁國際機場（Aden International Airport）日前發生一起驚人的電擊意外，當時
一名工作人員想要去調整電風扇，沒想到直接觸電死亡，旁人也沒發現，而他觸電瞬間露
出驚恐無比的表情，全被監視器錄下，在社群媒體上引起熱議。


當地媒體報導，這起事間發生在7月14日上午，當時亞丁國際機場空調系統故障，因此擺
了許多大型電風扇，一名工作人員洛特菲（Lotfi Ibrahim al-Shamakh）疑似是覺得電風
扇角度不對，沒吹到旅客，想要去調整，沒想到一摸就立刻觸電。


監視器畫面中可以看到，穿綠色上衣的洛特菲觸電後，露出痛苦的表情，張大嘴巴，神色
相當驚恐，但因為遭到電擊，身體無法動彈，另一隻手臂在空中揮舞著求救。誇張的是，
在不到一公尺外的地方就有另一名員工，坐在櫃台後方收東西，卻完全沒有發現旁邊有人
被電擊，甚至從旁邊走過離開。



▲電風扇冒出火花與黑煙。


洛特菲被卡住大約20秒後，才有一名穿白衣的男子出現，把他救下來，此時電風扇還爆出
火花，中間燒成一片焦黑。不幸的是，洛特菲被救出之後雖然立即送醫，但仍不治身亡。


網友將影片PO上推特後引起熱議，許多人痛罵旁邊視若無睹的員工太誇張，竟然沒有發現
，也有人批評機場管理部門怠忽職守，保護員工這樣基本的事情都做不到。亞丁機場的負
責人也在受訪時公開道歉表示，的確是相關單位的疏失，會負起責任並加以改進。


機場監視器影片:


--
 ","Thu Jul 18 10:45:47 2019 ","推 → 推 → → 推 → → → 噓 → → → → → → → 推 → 推 推 推 推 推 推 推 → → 推 推 推 → 推 推 → 推 推 推 → 推 推  "
"Re: [新聞] 林飛帆：畢業找工作很正常 市長沒畢業找工作不正常 ","

非凡公子在嘴別人之前  可以先了解一下小英的政策嘛

1)大學校長會議 總統：不一定要讀完書再就業




而大學生也可在就學2年後，先取得副學士的資格，再投入職場，一段時間後再回到大學
加強職場所需要的專業能力。蔡英文：『(原音)換句話說，我們不需要再固守我們傳統上
很熟悉的觀念，也就是讀完書再就業的觀念，


民進黨就這種咖洨???  連自己總統講的政策都不清楚

林非凡就是蔡英文口中的傳統老人嘛

--
 ","Thu Jul 18 10:45:50 2019 ","推 推 → 推 噓 → → → 噓 → → → →  "
"[新聞] 柯文哲再怒嗆蘇貞昌：有夠不要臉 ","



記者陳家祥／台北報導

台北市長柯文哲近來對民進黨的批評毫不手軟，日前直指綠營「說謊成性」一事，引來行
政院長蘇貞昌反酸，應該要堅守崗位，才對得起市民，對此，柯文哲18日怒回，

對於蘇貞昌反酸應該堅守崗位才對得起市民，還說柯曾說連任後會支持蔡英文爭取連任，
柯文哲18日受訪時強勢回擊，在2018年台北市長選舉，尤其又發生葛特曼事件，「現在蘇
貞昌這樣講只能說，實在是有夠不要臉，我也不客氣回擊。」

至於為何會全面跟民進黨開戰？

柯文哲表示，其實我們都有給民進黨機會，「好好幹今天會有…，韓流會出現是有那個大
環境，為什麼人民會有這麼深的怨恨感？這就是蔡英文執政要去思考的題目。」


ETtoday


--
 ","Thu Jul 18 10:45:54 2019 ","推 噓 推 → 推 推 推 → → 噓 → → 推 推 噓 → → 推 → 推 → 噓 → → → → 推 → 噓 → → 推 → → 推 推 → 推 → 推 → → → → → → → → 推 推 推 推 推 推 → 推 → → → 推 → 推 → → 推 → → 推 → 推 推 → → → 推 噓 推 噓 推 → 推 → 推 推 → 噓 推 推 → → 推 → 推 推 噓 推 推 噓 噓 推 噓 → → → 推 推 推 噓 推 → 噓 → → 推 → → 噓 → → → 推 推 → → 推 → → 推 → 噓 → 噓 推 推 → 推 推 → 推 → 推 推 推 → → 推 推 噓 噓 → → → → 推 → 推 推 推 推 推 推 噓 推 → 推 → → 推 推 → 推 推 噓 → → 推 推 推 → → → → → 推 推 → 噓 → → 推 推 推 → 推 噓 推 → 推 噓 推 推 推 噓 噓 噓 → 推 推 噓 → 推 → → → 噓 噓 推 → → → → 推 → → 推 → 推 推 噓 → 推 → 推 噓 噓 推 推 推 噓 推 → → 推 → 推 推 → 噓 噓 → 推 → → 推 → → 推 推 推 推 → → 噓 噓 推 → 推 推 → → → 推 → → 推 噓 推 噓 → 推 推 → → 推 推 噓 → 推 → 噓 → → 推 推 → 噓 推 → → 推 → → 推 → → 推 → 推 推 推 推 → → 推 推 → 推 推 → 推 → 推 → 噓 → → → 推 → → 推 噓 噓 → → → → 推 → 推 推 推 推 → → 推 推 噓 噓 推 推 推 → 推 → 推 → → 噓 推 推 噓 → 噓 推 推 推 → → 噓 → 推 → → 噓 噓 推 → 推 推 → → → → 推 噓 推 推 推 → 推 → 噓 → 噓 噓 推 推 → 噓 → 推 推 → → 噓 推 推 推 推 噓 → 推 推 推 推 推 → 推 推 → 推 噓 噓 → 噓 噓 → → → 噓 推 推 推 → → 推 → 推 推 噓 推 → → → → → 推 推 推 → → 推 推 推 推 推 → 推 推 → → → → → 噓 → 推 → → 噓 推 → → 推 推 → 推 推 → → 推 → → → → 推 → 噓 → 推 → 推 推 → → → 推 → 噓 → 推 → 推 推 推 → 推 噓 推 → → 推 噓 → 噓 推 → 推 → 噓 → → 推 → → 推 → 推 推 → 推 推 → 噓 → → → → → → → → 推 → → 推 → → 推 推 推 推 → → 推 → 推 → → 噓 推 → → 推 → 噓 推 推 → → → 推 推 → 噓 推 → → 噓 推 → 噓 噓 → 推 → → 噓 推 推 → 推 噓 推 推 → → 推 推 → → → → → → 推 推 → → → 推 推 推 推 推 推 推 → 噓 推 噓 → → 推 → 推 → → → 噓 → → 噓 → 推 噓 → → → 推 → → 推 → 推 推 推 推 → → 噓 推 推 → → → 推 推 噓 → 推 → → 推 → → 噓 → → → → → 噓 → → 噓 推 → 推 噓 推 噓 → 推 推 推 推 → 推 → → 推 噓 推 → 推 推 噓 → → → → 推 推 → → 推 → → → → → 推 → → → → 推 噓 推 → → → 推 → → 推 → 推 推 → 噓 → → → → → → → 噓 噓 → 推 推 推 → 推 推 → → → 推 → → → → 推 → 推 → → → → → 推 推 → 噓 推 推 推 → → → → → 推 噓 推 推 → 推 推 → → 噓 → 推 → → 推 → 噓 → 推 推 → 推 → 噓 推 推 → 推 → → → 推 推 → → 推 推 → → 推 推 噓 → 推 推 → 推 推 推 → 推 推 → 噓 → 推 推 推 → → 推 → → 推 → → → → 推 推 → 推 → → 推 推 推 → → 推 噓 推 噓 推 → → → 噓 噓 → → 噓 → 推 → → → 推 推 推 推 → → → → → 推 → 推 推 → 噓 推 → 噓 推 噓 → 推 → → 噓 推 推 推 → 噓 推 噓 噓 → → 推 → → → → 推 → 噓 噓 → 噓 → → 噓 推 推 噓 → 噓 → 噓 推 → 推 噓 → 噓 → → 噓 推 → → → 推 → 推 噓 推 推 → → → 推 推 推 推 → 推 → 推 → 噓 → 推 推 → → → 推 推 → → → → → 噓 → 噓 → 噓 → → → 推 噓 推 → → 推 → → → 推 噓 → 推 噓 推 噓 推 → → 推 → 推 推 → → 推 推 噓 推 推 → → 推 → 推 → 噓 推 → → → 推 → → → 推 → 推 噓 推 推 → → 噓 噓 → → → 推 推 推 噓 → → → → 噓 → 噓 → → → 推 推 → 推 噓 推 噓 → → → 推 推 噓 噓 → 推 推 → 推 噓 推 推 推 推 → → → 推 → → 推 推 推 推 → 推 推 → 推 推 → 推 → → → → → 推 → 推 → 推 → 推 噓 → → → 噓 推 → 推 → 推 → → → → 噓 推 → → → → 噓 → 噓 噓 推 噓 → 推 → 推 噓 → 推 推 推 → 推 推 推 → → → → 推 → 噓 推 噓 推 噓 → 推 推 噓 推 → 推 → 推 → 推 → 推 推 → 噓 → → 噓 → 推 推 推 → → 推 推 推 噓 → 推 推 噓 推 推 推 → → 噓 噓 → → 推 噓 推 推 → 推 推 推 噓 推 噓 → 推 → → 噓 推 噓 推 → 推 → 推 推 噓 推 推 噓 推 噓 推 → 推 → 推 推 → → → 噓 推 噓 → 噓 推 推 → → 推 → → 推 推 → 推 推 → → → 噓 推 推 推 推 噓 推 噓 → → 推 推 推 → → 推 噓 推 推 推 噓 推 噓 推 → 噓 → 推 推 推 → 推 推 推 → → 推 → → → 推 推 噓 噓 推 → → 推 推 噓 推 推 → 推 推 → 推 → 推 推 推 → 噓 推 推 → 推 → → 推 推 → 推 → 噓 → 推 → 推 → 推 噓 → 推 推 → 噓 推 推 推 → → → → → 推 推 噓 噓 噓 噓 → 推 推 → 推 → 推 → → → 推 噓 → 推 → 推 推 推 推 推 推 推 → → → → 推 噓 推 推 推 推 推 推 → → 推 推 推 推 推 → → → 推 推 → 噓 噓 噓 → 噓 推 噓 推 推 → 推 推 推 → → → 噓 噓 推 → 噓 推 推 → 推 推 推 推 → 推 → 推 推 推 推 → 推 推 → 推 → 推 推 → 推 噓 推 推 推 → 推 推 → → 推 推 → → 推 噓 推 推 → → 噓 推 → 推 推 推 推 噓 噓 → → 推 噓 推 推 → → → 推 → →  "
"[問卦] 金城武的多重帳號 超過5個不查嗎？ ","
金城武的帳號擺明超過5個
分身IP更是一堆
目無章法 大剌剌的八卦版回文

無法可管嗎？

--
 ","Thu Jul 18 10:47:05 2019 ","→ 噓 → → 推 推 推 推 噓 推 → 推 推 推 → 推 推 推 推 推 推 → → → → → 推 → 推 推 → 推 推 → → 推 → 推 → 推 推 → → 推 →  "
"Re: [新聞] 林飛帆：畢業找工作很正常 市長沒畢業找工作不正常 ","

可是你在的這個黨好像很流行縣市長沒畢業就在找工作的耶



謝長廷，高雄市長沒幹完，就去當行政院長

蘇貞昌，台北縣長沒幹完，也去當行政院長

賴清德，台南市長沒幹完，也去當行政院長(挖靠變慣例了)

陳菊  ，高雄市長沒幹完，就跑去當總統府秘書長(還帶一堆局處長入閣)

蘇嘉全，屏東縣長沒幹完，就跑去當內政部長

曹啟鴻，屏東縣長沒幹完，就跑去當農委會主委

林聰賢，宜蘭縣長沒幹完，就跑去當農委會主委





同期的摸奶廷  人家好歹畢業也是從個小助理開始當起 人家有從時力秘書長開始幹起嗎?

你林飛帆連民進黨裡面黨務跟內部組織都不熟 就直接當副秘書長 還嗆說要賺錢

不會做這份工作  你還是沒交代那要賺錢你會做啥工作啊





--
 ","Thu Jul 18 10:47:38 2019 ","推 推 → → → 推 推 → 推 → 推 推 → → → → → → → → 推 推 推 → 推 → 推 推 推 推 噓 推 推 → 推 推 推 推 推 推 推 → → 推 推 推 推 → → → 推 推 推 → 推 推 推 推 → → 推 推 推 噓 推 推 推 → → 噓 → → 推 → → 推 推 推 推 推 推 推 推 噓 噓 推 推 推 推 推 推 噓 推 → 推 噓 推 推 噓 推 推 推 推 推 → 噓 → 推 推 → 推 → 噓 推 推 推 推 推 → → 推 → → 推 推 推 推 推 推 推 噓 推 → 噓 → 噓 推 噓 推 → → 推 推 推 推 推 推 推 推 推 推 推 → 推 → 推 推 → 推 → 推 → 推 推 推 推 推 推 推 推 推 推 → 推 推 推 推 → → → → 推 推 推 推 噓 推 → 推 推 → 推 → 噓 噓 推 推 推 推 → → 推 推 推 推 推 推 推 推 → 噓 → 推 推 噓 推 推 推 噓 推 推 推 噓 噓 → 推 推 推 推 推 推 推 → 噓 推 → 推 推 推 推 → 推 推 推 噓 推 推 → 噓 推 推 推 → 推 推 推 推 推 噓 噓 推 推 → 推 推 推 → 噓 推 噓 → 推 推 → 噓 推 噓 推 推 → → 噓 噓 推 → 推 推 噓 噓 推 → → → 噓 噓 → 推 推 → 推 推 → 噓 推 → 推  "
"[問卦] 慶幸颱風沒來484文組記者的鄉愿？ ","

安安我農校阿肥啦

常常看新聞說颱風擦邊沒進入鬼島

講得一副是只有優點的好事發生一樣

但颱風不是本島的重要降雨來源嗎？

至少阿肥小時候的地理 地科老師這樣教啦

484唸傳播學院的可撥文組生

小時候地理都是被當掉的呀？

--
颱風本身也帶水呀 報告沒來的事實就夠了吧
都要自己腦補這件事的優劣實在ㄏㄏ
這個論點厲害惹
 ","Thu Jul 18 10:47:47 2019 ","推 → → → 噓 噓 推 → 推 噓  "
"[公告] 水桶 ","
uhubi
Francise
gn01765288
blue999
ergostepo 無記者累犯警告 7
------------------------------------
hyscout 新聞超貼30
kiske011 引戰180
jerrybig 分身 十年 退文
livefishfish 惡意張貼過期新聞 警告7

------------------------------------
另之前未警告水桶累犯30天修正為警告一次7天
如未修正者遺漏者請來信告知
------------------------------------

 作者  hyscout (廠廠)                                         看板  Gossiping
 標題  [問卦] 中天被老天爺打臉的八卦
 時間  Thu Jul 11 14:33:35 2019
───────────────────────────────────────



20190711中天新聞　連日大雨鳥松「不淹了」　民：感謝韓市府團隊清淤

昨天還在喜孜孜沒淹水惹

結果今天.....



最新》韓國瑜清淤重點神農路 大雨又積水了

有沒有中天被老天爺神速打臉的八卦?

 ‧ 禁止以問卦或爆卦方式偷渡新聞，否則視同每日新聞發文限制篇數（超過一篇須按
    照板規三水桶處理）。


18     5/18 Anonymous.   □ [文章] 791857記者 ergostepo
     19     6/06 Anonymous.   □ [文章] 786638記者 ergostepo
     20 s 1 7/11 Anonymous.   □ [文章] 785958 ergostepo
2     4/25 Anonymous.   □ [文章] 786904 uhubi
      3 s 1 7/11 Anonymous.   □ [文章] 786096 uhubi
16     1/06 Anonymous.   □ [文章] 777795 gn01765288
     17     2/26 Anonymous.   □ [文章] 765358 gn01765288 記者未署名
     18     3/16 Anonymous.   □ [文章] 789258 gn01765288
     19     4/10 Anonymous.   □ [文章] 783725 gn01765288
     20     4/17 Anonymous.   □ [文章] 782111 gn01765288
     21     4/19 Anonymous.   □ [文章] 788895 gn01765288
     22     4/27 Anonymous.   □ [文章] 791360 gn01765288
     23     5/23 Anonymous.   □ [文章] 785813 gn01765288
●   24 s 1 7/01 Anonymous.   □ [文章] 779243 gn01765288 記者
     25 m 1 7/06 Anonymous.   □ [文章] 791570  gn01765288 祭品
     26 m 1 7/06 Anonymous.   □ [文章] 791911 gn01765288
     27     7/11 Anonymous.   □ [文章] 786158 gn01765288
作者  Anonymous. (猜猜我是誰 ? ^o^)                       看板  GossipPicket
 標題  [文章] kiske011  引戰
 時間  Thu Jul 11 14:38:50 2019
───────────────────────────────────────


   1.文章標題【如:20025 + 7 1/28 oZAQW        □ [新聞]            】
R: [問卦] 你發現朋友的女友或老婆比你的正 你會？


   2.文章代碼【違規文前按大寫Q可顯示該文章代碼 如:(AID):  】



   3.違規事實【如:超貼新聞、OP、超貼問卦、謾罵、引戰，也可貼出板規輔助檢舉】
引戰

汙辱歧視女性

雌性的功用就是傳宗接代
外表只是她們吸引男人去使用她們的武器
所以重點不是好不好看  好不好用才是重點


第七條：〔挑釁、謾罵〕
  ￣￣￣￣￣￣￣￣￣￣￣
 ‧ 文章內容含有對特定人物、使用者、特定族群進行言詞侮辱、挑釁、威脅、謾罵、
    歧視、引戰之文章，一律退文且加給水桶六個月，自刪文章者水桶一年。

   4.違規人名稱
kiske011

──┐
一? │
    │
    │
──┘
舉】
     14 s 1 7/08 Anonymous.   □ [文章] 779996 blue999
●   15 s 1 7/09 Anonymous.   □ [文章] 782703 blue999
     16 s 1 7/11 Anonymous.   □ [文章] 786860 blue999
     17 +   7/16 Anonymous.   □ [文章] 781802 blue999
●    2     7/16 Anonymous.   □ [文章] 782486 Francise
      3 +   7/17 Anonymous.   □ [文章] 784763 Francise
作者  excell (Soft On Demand)                                看板  Gossiping
 標題  [新聞] 美國《外交政策》︰習近平是蔡英文的「海
 時間  Thu Jul 11 17:49:49 2019
───────────────────────────────────────

1.媒體來源:自由時報


2.記者署名 綜合報導


3.完整新聞標題:美國《外交政策》︰習近平是蔡英文的「海報男孩」


4.完整新聞內文:
香港史無前例的「反送中」運動引起全球關注，不過，有外媒刊文指出，台灣民眾因為香
港反送中，日漸感受到中國的威脅，可能為總統蔡英文帶來下一場勝利，中國領導人習近
平反倒成為她的最佳助選員。

據美國知名外交雜誌《外交政策》（Foreign Policy），10日發表「習近平是蔡英文最佳
的海報男孩」一文，指出蔡英文因年金改革而在去年選戰受挫，加上兩岸政策導致與中國
關係不穩定、經濟低迷和外交困境而廣受抨擊，一度面臨成為台灣第一位未能通過黨內初
選的現任總統，民進黨黨內初選時，有不少人擔憂她贏得勝選機會不大。

文章指稱，蔡英文成功贏得黨內初選，再次代表民進黨角逐2020年總統大位，這其中有來
自中國的偶然之手；因為香港的大規模抗議活動，激起台灣人高度關注，加上蔡英文長期
堅定反對親中立場，拒絕接受九二共識、反對一國兩制，讓她有望連任成功。

蔡英文拒絕向中國屈服，除了面臨來自中國的強大施壓，中共可能出手干預或武力恫嚇阻
止她連任，然而，文章指出，蔡英文並未因此退縮，台美關係進展，年金改革持續推動、
同婚合法化、新南向及台商回流等政策，讓台灣貿易往來更多樣化並減少依賴中國。

文章也提及，在台灣充滿活力但有時古怪的政治世界裡，蔡英文顯得過於沉悶、略顯無趣
，這使蔡英文與其他極富個人色彩的政治人物形成鮮明對比；雖然國民黨初選結果尚未出
爐，但不論誰勝出，也須面對公眾對中國威脅的擔憂。


5.完整新聞連結 (或短網址):



6.備註:

外交政策原文

 2.發表為使用者自行彙整之兩篇以上三日內新聞於同一篇時，視同新聞超貼。
作者  livefishfish ((*〝︵〞*))                              看板  Gossiping
 標題  [新聞] 美軍曾考慮研製""同性戀炸彈""
 時間  Fri May 31 12:45:18 2019
───────────────────────────────────────

美軍曾考慮研製""同性戀炸彈""

剛剛被披露出來的的美國政府機密檔案顯示，美國科學家曾計劃研製一種使敵方士兵變成
同性戀的炸彈。

在其它獲得解秘計劃中，美國還曾試圖研究過讓敵方長期口臭、呼吸不暢等許多所謂非致
命性武器。

據悉，美國國防部曾考慮研製過各類可以破壞敵軍紀律和士氣的非致命化學武器。

這些研究都屬於1994年開始的一個耗資750萬美元的6年項目。

美國空軍俄亥俄州懷特實驗室當年曾向五角大樓申請有關試驗經費。項目結果並未上馬。

愛情炸彈、口臭炸彈

這一秘密因美國《自由信息法案》而曝光。它是美國一個生化武器監測組織“陽光計劃”
公之於眾的。

這些武器計劃中包括所謂“愛情炸彈”，即設想發明一種可大規模傳播的催情劑(春藥)，
以造成敵軍部隊同性戀行為流行、士兵忙於“做愛”，以至於士氣低落、無力作戰。

美軍科學家還考慮過研製一種叫作“刺我、咬我”的化學武器。這種武器可以使敵軍招惹
和激怒自然中的黃蜂與老鼠。

另外有一種化武意在使受害者皮膚變得對陽光過敏。

美軍曾經計劃研製的甚至有一種化武，旨在使敵軍產生“嚴重、持久的口臭”，使他們就
無法混入平民人群裡。

美國政府文件還顯示，自1945年以後美軍就考慮過研製一種可以使敵軍官兵生胃氣腫的武
器。

五角大樓非致命武器聯合計劃處的麥克斯韋尼上尉說，國防部收到過幾百個類似的項目設
想，但94年的項目都被束之高閣。

他告訴BBC記者說：“有必要指出，國防部會嚴格考慮有關武器是否符合法律、國際條約
和對人的影響等因素。只有符合條件的武器，國防部才會考慮開發或購買。”


 12     4/28 Anonymous.   □ [文章] 776288 livefishfish 舊聞鬧板
     13     5/21 Anonymous.   □ [文章] 782181 livefishfish 十年前新聞鬧板
     14     5/23 Anonymous.   □ [文章] 785031故意張貼過期 livefishfish
     23     5/31 Anonymous.   □ [文章] 789274惡意張貼livefishfish
●   27     7/05 Anonymous.   □ [文章] 787305 livefishfish 過期
     28     7/05 Anonymous.   □ [文章] 788049 livefishfish 過期


--
 ","Thu Jul 18 10:47:56 2019 ","推 → 推 →  "
"Re: [爆卦] 7/18多重帳號刪除來源統計 ","
蔡跟馬根本一樣的。


之前馬邦伯搭上美中合作的順風車，拿到中國經濟紅利。

帶回來台灣吹說是 KMT 治國有方，會拼經濟。


現在辣台妹搭上美中對抗的順風車，拿到美國外交紅利。

帶回來台灣吹說是 DPP 治國有方，會拼外交。



明明就都是看美中兩國的臉色撿便宜，都在台灣帶風向說英明神武好棒棒。


KMT 一天到晚喊 DPP 上台兩岸會對抗、會開戰、會焦土，台灣沒未來。

DPP 一天到晚喊 KMT 上台兩岸會統一、沒主權、沒自由，台灣沒未來。


結果 KMT 上台 8 年，台灣好好的。

結果 DPP 上台 4 年，台灣好好的。


每隔四年就有人拿芒果乾出來講幹話

然後就一堆人帶風向說芒果乾好吃，一堆英靈殿戰士出來帶風向。



紙紮個芒果乾就帶成諸神黃昏。


乾

1450

乾

英靈殿

乾

芒果乾

--
願你走出半生，歸來仍是少年。

--
他已經是總統了 ？

我拿總統來比   台北市長滾辣

乾
 ","Thu Jul 18 10:48:01 2019 ","推 噓 推 → 推 推 → → → → 推 推 → 推 → → 推 → → → 推 推 → → 推 → → 噓 → → → 推 推 推  "
"Re: [問卦] 熱過敏要人出門運動曬太陽是什麼邏輯? ","
原文43

是這樣的～

小弟之前在某教堂旁邊當兵的時候

連上有一個看起來挺邊緣的弟兄，平常不用跟大隊一起行動，

好像是被拉去做文書還是打飯服侍長官之類的缺，

有一次在早午查的時候
(就是一大早要戴鋼盔S腰帶去營集合場曬太陽罰站那種)

上面的長官說:

""某某連怎麼少一個兵?""

""蛤?人群恐慌症?你在跟我開玩笑嗎?""

""來來來～去把他帶過來，我帶他好好認識一下大家。""

連上的POA就拿出3310打電話把人叫來，

跟大家穿著一樣，站在司令台旁邊，剛剛那位長官就帶他走來走去，

結果突然""啪""的一聲，那位弟兄就倒在地上了...之後就被人抬去醫務所，

人回來之後他就去被換寢跟一些連上的長官，睡在一樓的長官寢室，

最後連打飯之類的雜事都免去了，就一直是全休的狀態，

要帶他認識人的長官，在我退伍前也比較少在那邊假鬼假怪了。

那個長官讓人覺得，病不是生在自己身上，就都無所謂，

反正最後不舒服的也不是我，這種人到哪都有呢～



--

為了表示歉意，我做了這個


 ","Thu Jul 18 10:48:22 2019 ","→ 噓 推 → 推  "
"Re: [新聞] 林飛帆：畢業找工作很正常 市長沒畢業找工作不正常 ","

不過說到這個，我倒有一個問題想問非凡:

為什麼閣下要去念一年就可以畢業的研究所呢?

一年能學到什麼東西呢?

大家都知道到英國，真的要念書就是念博士，
非凡你為什麼不敢挑戰博士呢?


--

可以啊，不過大家都知道有多水就是了。


我前面一篇有介紹過英國的學制，有興趣自己去看看。

誰說沒有寒暑假，你騙我沒待過英國喔!!!!!


告訴你，英國一流學校的重點都不在Mphil，PhD才是他們真正關心的；
說得更難聽一點，沒念成PhD的Mphil都不算真正""畢業""。

真的是騙我沒待過英國?

奇怪，我到底是柯粉還是1450，兩邊都有人罵我耶:)
 ","Thu Jul 18 10:48:48 2019 ","推 噓 噓 → 推 → → 推 噓 推 推 → 推 推 推 噓 推  "
"Re: [新聞] 最近聽過最毒辣語言？ 林飛帆：畢業總要 ","
文
過
會
小
後
去
灣
，
統
來
動







林飛帆真不愧是公子哥

他的辛苦定義跟一般人好不一樣

唸書唸到28歲碩士""才""畢業

結果一畢業沒收入就能娶老婆

接著去英國玩兩年混文憑

還可以帶著老婆一起去

兩個人在英國生活都不需要為錢煩惱

他們家真是「辛苦小家庭」

結果一回國就被民進黨拉攏 6個月之後就擔任執政黨副秘書長職務

一路這麼""辛苦"" .....難怪要信民進黨




喔對了

附帶一提 這麼辛苦的小家庭

結婚居然警力要來維安、總統還出席
















31歲就幹話連連 他馬的這種人居然還可以一直在政壇打滾...


--
看他最近空降民進黨高層
這解答了原來當初不加入時代力量原來是有原因的

 ","Thu Jul 18 10:49:19 2019 ","推 → → 推 → → 噓 推 → → → 推 → → 推 推 → → 推 推 推 推 推 → 推 噓 推 推 推 → 推 → 推 推 推 推 → 噓 推 推 → 推 噓 推 推 推 → 噓 推 推 推 推 推 噓 → → 噓 推 噓 → 噓 推 推 → 推 推 噓 → 噓 → 推 推 噓 推 → 噓 → 推 噓 推 噓 推 噓 噓 → 噓 → → 推 推 推 推 推 推 → → → → → → 噓  "
"Re: [新聞] 力推Uber計程車化！林佳龍：違反新規最重 ","
龍
但
er
色
意
的
大
事
成
定
針

這就是政客造成台灣沒有競爭力的例子

有便宜的uber不用，要用貴的計程車
為什麼，因為計程車會反彈
這是什麼邏輯？？
不適用的就淘汰，很難嗎？

再舉一個例子
電費太便宜，卻不能漲
台灣電費，好像是有名的便宜
說漲了，會讓民眾反彈
中小企業會虧損
結果政府補助電幾千億
就是用的越多賺的越多
反正政府補助
用全部人的納稅錢來補助電價

台灣就是一直在幹破壞市場經濟的事情

搞得沒競爭力
沒競爭力，就不要理他
死一個算一個
不要拉全部人陪葬



--
 ","Thu Jul 18 10:30:55 2019 ","→ 噓 → 噓 → 推 → 推 → → → 推 → 推 → 推 → → → → → → → 推 噓 → → → → → → → → → → 噓 → → → → → 推 → 推 → 推 噓 噓 噓 → 推 → →  "
"[問卦] 有沒有長輩喜歡吃過期食品的八卦 ","
安安如題

就過期好幾個月的醬料了
跟我說沒關係沒關係
反正有放冰箱

幹拎娘勒
昨天沒吃還好 一吃隔天就瘋狂腹瀉

這種長輩得大腸癌是不是剛好而已？
耖雞掰

--


 ","Thu Jul 18 10:31:33 2019 ","→ → 推 推 推 噓 → 推 → 噓 推 推 推 推 → → → → →  "
"Re: [問卦] 有非核家園，還有甚麼口號可以非的? ","





















我看你說的都是達不到的，
我提議成立“”

人人有炮打，促進社會穩定。

只要有炮打，臺男隨機殺人率、自殺率馬上下降。

國內GDP搞不好還會因此提升


什麼？你說女權怎麼辦？

我管她去死，我處男欸！







--
 ","Thu Jul 18 10:32:10 2019 ","噓 推  "
"[新聞] 泰國水上餐廳突崩塌 用餐民眾落水至少2死 ","
自由
泰國水上餐廳突崩塌 用餐民眾落水至少2死23傷1失蹤


〔即時新聞／綜合報導〕
泰國沙沒頌堪府（Samut Songkhram Province，或稱夜功府）
一家水上餐廳突然崩塌，當時在內用餐的大量民眾瞬間掉入河中，
造成至少2死23傷，還有人下落不明。

綜合泰國媒體報導，沙沒頌堪府一家水上餐廳昨（16日）突發崩塌，
由於當天是泰國國定假日，餐廳湧入大批民眾用餐，
許多人隨著建築物掉入河內，造成至少23人受傷，還有3人失蹤，
今已發現2名失蹤者遺體，罹難者遺體被建築物殘骸壓在水中，
目前救難單位正調派大型機具來將罹難者遺體撈出。

報導指出，事發餐廳已有近50年歷史，餐廳建築年久失修，
加上當時用餐民眾眾多，建築疑似不堪負荷，突然崩塌。

生還民眾心有餘悸表示，當時他正在用餐，突然聽到一聲巨響，
接著全部人都掉進河裡面，他被冰箱砸中，所幸仍順利脫困。


--

全篇上上下下都查過,自由沒寫記者名字
只有〔即時新聞／綜合報導〕
 ","Thu Jul 18 10:32:14 2019 ","推 推 推 推 推 推 推 推 推 → 推 → → 噓 → → 推 → 推 推 推 → 推 推 推 →  "
"Re: [問卦] 有沒有上籃抬膝蓋很髒的八卦？ ","


這葛影片的第一球，

看起來也是一個飛膝擊。

但4因為灌籃HEN帥，不只觀眾拼命拍手手

原本想作進犯的對手也只能摸摸鼻子，認惹


所以讓對面不爽嗆你打酋髒這因該是你動作不夠帥der問題拔

--
 ","Thu Jul 18 10:32:47 2019 ","→ 推 推 → → 推 → → → 推  "
